,experiment,timestep,mean episodic length,mean episodic returns,mean episodic runtime,std episodic returns
0,experiment,501600,200.0,-938.520577833032,0.03913025422529741,158.4088783136755
0,experiment,503800,200.0,-1012.8102112145832,0.03941600972955877,114.77488541708962
0,experiment,506000,200.0,-1183.8144964927208,0.03735425255515359,204.47145633960398
0,experiment,508200,200.0,-934.7904084454932,0.03717038848183372,151.82272748541308
0,experiment,510400,200.0,-1094.0942439606154,0.0371701717376709,225.7841552640195
0,experiment,512600,200.0,-918.317524456673,0.037496003237637604,213.41390374749992
0,experiment,514800,200.0,-938.9163566499066,0.03963539817116477,166.14134095842633
0,experiment,517000,200.0,-1030.4342696843528,0.039076826789162376,199.3215297038789
0,experiment,519200,200.0,-1005.5534701059489,0.03671665625138716,212.90376853714216
0,experiment,521400,200.0,-1035.8463861342018,0.03658364035866477,173.51435137287888
0,experiment,523600,200.0,-1003.1400030146681,0.037068388678810814,97.50356313756734
0,experiment,525800,200.0,-1013.5162226515564,0.03719104420055042,141.51647210726065
0,experiment,528000,200.0,-1038.970277378521,0.039912267164750534,192.45403608765255
0,experiment,530200,200.0,-943.2674293389694,0.038996523076837715,169.0599412917991
0,experiment,532400,200.0,-952.1471356980622,0.03715929118069736,162.87486720622016
0,experiment,534600,200.0,-993.6215705967949,0.037246444008567116,202.38433078222565
0,experiment,536800,200.0,-1009.6559472030768,0.03815280307422985,252.02023007585615
0,experiment,539000,200.0,-1058.867492119406,0.037050940773703835,237.98772232418855
0,experiment,541200,200.0,-937.4913628155006,0.03946052898060192,135.93380783800453
0,experiment,543400,200.0,-1012.4470700177636,0.04205471819097346,140.34818432300085
0,experiment,545600,200.0,-991.0552933418362,0.037756616419011894,116.91953216096424
0,experiment,547800,200.0,-952.3719797927323,0.03728877414356579,142.5260058556243
0,experiment,550000,200.0,-1001.4071753007252,0.036259607835249466,193.05601388473588
0,experiment,552200,200.0,-930.5582223640612,0.03783997622403232,176.9395164007411
0,experiment,554400,200.0,-957.011535626744,0.039156285199252044,127.60109160857392
0,experiment,556600,200.0,-1110.5321570496437,0.037658864801580254,184.96645825298162
0,experiment,558800,200.0,-970.4865420424893,0.03787389668551358,163.8924714916782
0,experiment,561000,200.0,-965.3112030062279,0.03664556416598233,162.81670716360435
0,experiment,563200,200.0,-1024.932553158036,0.03807533871043812,204.77102041653387
0,experiment,565400,200.0,-1050.6537595435927,0.03852354396473278,233.75717823886217
0,experiment,567600,200.0,-1005.2411126645544,0.03999027338894931,142.807369679644
0,experiment,569800,200.0,-996.3229587054396,0.03759956359863281,141.2470598290796
0,experiment,572000,200.0,-976.2725478852946,0.037341984835537995,229.32805339268424
0,experiment,574200,200.0,-984.8123014975281,0.03697013854980469,163.8543248328983
0,experiment,576400,200.0,-1020.8503379370815,0.03763175010681152,181.44761681058714
0,experiment,578600,200.0,-1040.015600653191,0.038667613809758965,278.91285131726005
0,experiment,580800,200.0,-937.1919826009766,0.03944035009904341,186.8585314423415
0,experiment,583000,200.0,-1008.0304291702946,0.03752740946683017,205.64320766163058
0,experiment,585200,200.0,-1025.529668733361,0.03608010031960227,86.7646788772949
0,experiment,587400,200.0,-957.043583443576,0.03639884428544478,164.3657880613173
0,experiment,589600,200.0,-949.4160390532343,0.03674934127114036,143.5167900542668
0,experiment,591800,200.0,-1023.1324745310359,0.039469372142444954,187.01975823481627
0,experiment,594000,200.0,-899.9135313659277,0.039608456871726296,142.576078490899
0,experiment,596200,200.0,-994.6117751753761,0.03673542629588734,183.42330309497342
0,experiment,598400,200.0,-1027.273706899485,0.03670380332253196,121.73777124586142
0,experiment,600600,200.0,-938.7941971150944,0.03727947581898083,144.285902247861
0,experiment,602800,200.0,-1025.4618688784146,0.036829905076460404,148.76011605075246
0,experiment,605000,200.0,-982.211229566589,0.03858926079489968,151.23444989410808
0,experiment,607200,200.0,-965.1909952431092,0.040902137756347656,183.97684292985272
0,experiment,609400,200.0,-985.2007154824357,0.036366506056352096,205.125773106746
0,experiment,611600,200.0,-897.3272715196609,0.03682320768182928,109.78801682252667
0,experiment,613800,200.0,-1006.2137349385516,0.0362601713700728,211.05586035465896
0,experiment,616000,200.0,-998.1487565467229,0.03754314509305087,159.92753318199206
0,experiment,618200,200.0,-934.6798666451141,0.03837229988791726,129.18292482327558
0,experiment,620400,200.0,-993.8497375513566,0.03948432748967951,126.6520103282254
0,experiment,622600,200.0,-1030.559588392998,0.037425908175381745,182.66598399300204
0,experiment,624800,200.0,-986.2040194904283,0.03728400577198376,229.4545399381607
0,experiment,627000,200.0,-1004.6475405568457,0.03672170639038086,173.21910336990666
0,experiment,629200,200.0,-911.5662211838662,0.037464293566617096,160.94894179127604
0,experiment,631400,200.0,-965.0884061833214,0.039486061442982064,135.00841561444236
0,experiment,633600,200.0,-911.294518202604,0.038974761962890625,143.60279980160797
0,experiment,635800,200.0,-963.8162052320314,0.03670473532243208,151.94977473444104
0,experiment,638000,200.0,-955.3870696531477,0.03712578253312544,62.23701264333406
0,experiment,640200,200.0,-1074.2306540939067,0.03661935979669744,130.7397397974502
