,mean episodic length,mean episodic rewards,timestep
0,200.0,-1033.1785376755158,413400
0,200.0,-1207.751619649358,416000
0,200.0,-1099.6689976179487,418600
0,200.0,-1055.8229600323446,421200
0,200.0,-1085.3590859809121,423800
0,200.0,-1122.6185434835968,426400
0,200.0,-1083.874035014756,429000
0,200.0,-1218.1684682291493,431600
0,200.0,-1171.4733293756578,434200
0,200.0,-1147.0122380758805,436800
0,200.0,-1078.188995106888,439400
0,200.0,-1241.2050420923392,442000
0,200.0,-1061.2421185359312,444600
0,200.0,-1018.9582574991447,447200
0,200.0,-1215.6671343673172,449800
0,200.0,-1228.0015133960324,452400
0,200.0,-1162.7040139985418,455000
0,200.0,-1204.6748176850322,457600
0,200.0,-1097.217816268954,460200
0,200.0,-1073.1828418097018,462800
0,200.0,-1160.1477769226842,465400
0,200.0,-1052.252159977098,468000
0,200.0,-1123.8253645039215,470600
0,200.0,-1131.6258416865387,473200
0,200.0,-1090.5589864630192,475800
0,200.0,-1176.8854000825709,478400
0,200.0,-1189.3131746804418,481000
0,200.0,-1014.2098586158429,483600
0,200.0,-1145.2391145977,486200
0,200.0,-1150.791214073925,488800
0,200.0,-1077.8782921364034,491400
0,200.0,-1238.2635739591494,494000
0,200.0,-1045.182569974855,496600
0,200.0,-1194.7671455658021,499200
0,200.0,-1025.8032822294533,501800
0,200.0,-1112.9309615204525,504400
0,200.0,-1170.7984776253963,507000
0,200.0,-1138.6222667164973,509600
0,200.0,-1104.050458070498,512200
0,200.0,-1053.0774709443974,514800
0,200.0,-1130.32176358195,517400
0,200.0,-1200.1791158145588,520000
0,200.0,-1199.5448861576087,522600
0,200.0,-1069.1798469336795,525200
0,200.0,-1123.0742715782228,527800
0,200.0,-1040.4827110901579,530400
0,200.0,-1031.5215687257655,533000
0,200.0,-1110.1056362832808,535600
0,200.0,-1139.7986302425722,538200
0,200.0,-1101.2310120429179,540800
0,200.0,-1136.630723394431,543400
0,200.0,-1103.9783682172883,546000
0,200.0,-1092.9132903594718,548600
0,200.0,-1054.531832017474,551200
0,200.0,-1171.184266533931,553800
0,200.0,-1215.5466546435744,556400
0,200.0,-1056.8090822102172,559000
0,200.0,-1036.6737822528844,561600
0,200.0,-1315.04013925686,564200
0,200.0,-1089.291007551853,566800
0,200.0,-1054.0207886259393,569400
0,200.0,-1179.4786998741895,572000
0,200.0,-1105.791151574857,574600
0,200.0,-1142.545593364136,577200
0,200.0,-1162.7896603700856,579800
0,200.0,-1145.0442694639385,582400
0,200.0,-1088.2757955667585,585000
0,200.0,-1073.4364513345479,587600
0,200.0,-1043.607375619298,590200
0,200.0,-1176.98153967203,592800
0,200.0,-994.9412224154865,595400
0,200.0,-1159.856030865157,598000
0,200.0,-1031.733677330487,600600
0,200.0,-1144.998498268677,603200
0,200.0,-1185.1589833615349,605800
0,200.0,-1063.0488754203113,608400
0,200.0,-1127.5158589363816,611000
0,200.0,-1118.7452937370203,613600
0,200.0,-1172.497486622025,616200
0,200.0,-1069.2678939649445,618800
0,200.0,-1138.4593137840834,621400
0,200.0,-1255.5841171342365,624000
0,200.0,-1126.6193612222257,626600
0,200.0,-1075.639048535476,629200
0,200.0,-1141.750955429698,631800
0,200.0,-993.8395025222289,634400
0,200.0,-1084.0277702676754,637000
0,200.0,-1160.7609029730193,639600
0,200.0,-1185.776705544546,642200
0,200.0,-1151.3976783615867,644800
0,200.0,-1141.138572932005,647400
0,200.0,-1068.7714510468593,650000
0,200.0,-1047.9503922974159,652600
0,200.0,-1158.337608783277,655200
0,200.0,-1100.6334904666387,657800
0,200.0,-1094.6646265984214,660400
0,200.0,-1225.9863769065867,663000
0,200.0,-1213.518748513932,665600
0,200.0,-1070.3507328214025,668200
0,200.0,-1169.499568670917,670800
0,200.0,-1166.146042145827,673400
0,200.0,-1233.866222048985,676000
0,200.0,-1175.3842985134138,678600
0,200.0,-1041.941750089812,681200
0,200.0,-1058.0419823094207,683800
0,200.0,-1230.7526841592571,686400
0,200.0,-1093.1422059759327,689000
0,200.0,-1161.579478522829,691600
0,200.0,-1197.6644479037582,694200
0,200.0,-1082.6421434032536,696800
0,200.0,-1052.9800479672958,699400
0,200.0,-1061.1782678504085,702000
0,200.0,-1046.5747434152279,704600
0,200.0,-1086.7830037789695,707200
0,200.0,-1245.5999815228834,709800
0,200.0,-1057.8009816633237,712400
0,200.0,-1085.3374038742575,715000
0,200.0,-1073.5000042658298,717600
0,200.0,-1085.8550875873646,720200
0,200.0,-1144.860097614533,722800
0,200.0,-1076.8719416158326,725400
0,200.0,-1074.7601110763096,728000
0,200.0,-1061.7011745843815,730600
0,200.0,-1132.3504145641452,733200
0,200.0,-1129.861956912197,735800
0,200.0,-1036.0519581164665,738400
0,200.0,-1073.089866268629,741000
0,200.0,-977.5910861675802,743600
0,200.0,-1074.8409759990298,746200
0,200.0,-1111.094071052698,748800
