,experiment,timestep,mean episodic length,mean episodic returns,std episodic returns
0,experiment,743600,200.0,-1489.083383136448,67.04986516426446
0,experiment,746200,200.0,-1458.3262571923785,99.87773874216828
0,experiment,748800,200.0,-1439.5724756284794,47.73839768451341
0,experiment,751400,200.0,-1457.1079119709998,80.41902735379732
0,experiment,754000,200.0,-1459.733996538798,64.25453868490148
0,experiment,756600,200.0,-1451.3437104836548,70.23685627768262
0,experiment,759200,200.0,-1454.6380236183863,74.30551011242494
0,experiment,761800,200.0,-1454.6696424420313,67.38154589761996
0,experiment,764400,200.0,-1436.7537196395583,73.74520753077539
0,experiment,767000,200.0,-1431.9483443543581,41.1899101600697
0,experiment,769600,200.0,-1461.9143935098737,36.81114961338935
0,experiment,772200,200.0,-1455.0534506943757,58.104198452457716
0,experiment,774800,200.0,-1464.5445562537252,56.22209862683622
0,experiment,777400,200.0,-1448.4581103025496,71.61267557219533
0,experiment,780000,200.0,-1471.0342873347704,43.43903275881015
0,experiment,782600,200.0,-1471.2368108317748,48.89963888796039
0,experiment,785200,200.0,-1467.6603413126063,50.38828149761919
0,experiment,787800,200.0,-1455.0889680291923,59.53241961401201
0,experiment,790400,200.0,-1477.1682189118076,64.27462164995609
0,experiment,793000,200.0,-1481.570050472634,42.36365089720993
0,experiment,795600,200.0,-1458.5770505605562,43.84702884114745
0,experiment,798200,200.0,-1447.8935732461116,46.15449941662982
0,experiment,800800,200.0,-1476.929968618052,41.92721563466553
0,experiment,803400,200.0,-1421.0785537094494,43.31498587771955
0,experiment,806000,200.0,-1426.7439459268824,57.54334156268499
0,experiment,808600,200.0,-1465.4783327173152,52.24366151326751
0,experiment,811200,200.0,-1454.5244173794904,49.627157420917776
0,experiment,813800,200.0,-1468.0752593658553,53.176920008900474
0,experiment,816400,200.0,-1494.4312856419301,39.367289455651324
0,experiment,819000,200.0,-1481.0476280001635,56.03655210977976
0,experiment,821600,200.0,-1501.1444823335225,54.14518540536035
0,experiment,824200,200.0,-1486.7548067076414,52.180330133853715
0,experiment,826800,200.0,-1469.771462301513,62.66206840841041
0,experiment,829400,200.0,-1510.1167029272851,46.534466152163006
0,experiment,832000,200.0,-1475.2330009901962,79.41047763051608
0,experiment,834600,200.0,-1449.9723935004051,78.98621656183055
0,experiment,837200,200.0,-1493.348251039424,51.61180777810536
0,experiment,839800,200.0,-1502.5455387223947,44.22304050913356
0,experiment,842400,200.0,-1520.2227306611626,60.07342879227801
0,experiment,845000,200.0,-1460.1787228585574,58.266868234593716
0,experiment,847600,200.0,-1422.3572557607513,49.78769387330382
0,experiment,850200,200.0,-1427.5993387103842,77.31577276558724
0,experiment,852800,200.0,-1467.9246209796424,77.69871621532567
0,experiment,855400,200.0,-1448.4521248987307,92.44505766366869
0,experiment,858000,200.0,-1446.856545759906,110.6750001719899
0,experiment,860600,200.0,-1476.0613540732484,63.104907779089984
0,experiment,863200,200.0,-1395.082954462359,105.46283850020889
0,experiment,865800,200.0,-1443.66517434313,64.64268686413112
0,experiment,868400,200.0,-1404.901988331767,86.06201427370287
0,experiment,871000,200.0,-1390.283504300023,61.220662469899324
0,experiment,873600,200.0,-1375.1655874030328,73.45818879536377
0,experiment,876200,200.0,-1379.3825883146926,70.01667583074357
0,experiment,878800,200.0,-1385.1807798656273,91.84774619496288
0,experiment,881400,200.0,-1443.9250305187686,63.2805577177797
0,experiment,884000,200.0,-1456.8979140029064,62.805467274342114
0,experiment,886600,200.0,-1410.6312458138495,82.02580055605931
0,experiment,889200,200.0,-1438.0526060841037,98.30515332808676
0,experiment,891800,200.0,-1452.5422732754498,77.05731673964644
0,experiment,894400,200.0,-1438.6556878650938,86.35454492300455
0,experiment,897000,200.0,-1392.5138733321896,89.22918785367287
0,experiment,899600,200.0,-1453.6348734522346,67.56106410367023
0,experiment,902200,200.0,-1383.9648086725806,68.23304041451938
0,experiment,904800,200.0,-1381.9533797609859,83.93442822321232
0,experiment,907400,200.0,-1388.12202859364,66.56402288977476
0,experiment,910000,200.0,-1387.567161419261,59.6888188401862
0,experiment,912600,200.0,-1413.1007375838658,69.65367068679949
0,experiment,915200,200.0,-1418.9995845496471,65.41321127132149
0,experiment,917800,200.0,-1415.289836316018,72.52826370116824
0,experiment,920400,200.0,-1444.538276610489,97.19407509957598
0,experiment,923000,200.0,-1401.0258060350209,58.423166079535314
0,experiment,925600,200.0,-1425.8633011092063,52.66418725771082
0,experiment,928200,200.0,-1474.5836074217596,71.20373394152836
0,experiment,930800,200.0,-1459.595609636084,54.24125817353233
0,experiment,933400,200.0,-1423.8407917741372,64.68047893977305
0,experiment,936000,200.0,-1444.5011073224086,50.13075143793807
0,experiment,938600,200.0,-1438.1572710696494,69.06475249631559
0,experiment,941200,200.0,-1403.4415648976633,68.21226154784759
0,experiment,943800,200.0,-1388.729739743137,77.48033180120024
0,experiment,946400,200.0,-1441.225462827993,88.0788868311707
0,experiment,949000,200.0,-1479.3585189733758,55.98053994044897
0,experiment,951600,200.0,-1473.9534348957327,51.0329754910362
0,experiment,954200,200.0,-1486.164716174813,58.461944397979074
0,experiment,956800,200.0,-1457.9188227002442,77.93585884316202
0,experiment,959400,200.0,-1506.010223571278,42.78786835185054
0,experiment,962000,200.0,-1497.895961282758,53.81859432601158
0,experiment,964600,200.0,-1510.3212634609338,83.2391859707164
0,experiment,967200,200.0,-1497.6658039909826,93.10574220283489
0,experiment,969800,200.0,-1416.4942675819757,69.83908600658077
0,experiment,972400,200.0,-1465.4896653210153,79.34867078889312
0,experiment,975000,200.0,-1476.721493431263,106.2378563950789
0,experiment,977600,200.0,-1471.785162415754,67.48648648594943
0,experiment,980200,200.0,-1452.9830306153183,79.32122682122906
0,experiment,982800,200.0,-1467.8560975525534,84.30190503408551
0,experiment,985400,200.0,-1504.0037317262654,42.0566830525634
0,experiment,988000,200.0,-1502.2140412241858,52.725628643707914
0,experiment,990600,200.0,-1508.3209631048603,38.077353269177294
0,experiment,993200,200.0,-1495.1039074665566,59.17453605916304
0,experiment,995800,200.0,-1526.6355749048894,27.34562633613551
0,experiment,998400,200.0,-1526.477660352706,25.83432997025876
0,experiment,1001000,200.0,-1527.4170050885045,29.66200657357963
0,experiment,1003600,200.0,-1536.3959458549032,29.668274749901496
0,experiment,1006200,200.0,-1549.2738670179738,21.850805129723106
0,experiment,1008800,200.0,-1522.789987912062,34.054432585786266
0,experiment,1011400,200.0,-1519.3507287232421,28.35398274670446
0,experiment,1014000,200.0,-1533.6185754780543,33.20331451747942
0,experiment,1016600,200.0,-1534.7407761255163,35.944915265377794
0,experiment,1019200,200.0,-1533.6554928961507,36.63521333833315
0,experiment,1021800,200.0,-1509.188113201349,57.983157413652116
0,experiment,1024400,200.0,-1492.6388711581722,73.77055956934646
0,experiment,1027000,200.0,-1536.2438232219179,29.8032615014157
0,experiment,1029600,200.0,-1530.4733007033371,36.57468075898287
0,experiment,1032200,200.0,-1522.7473973156048,46.7113716284972
0,experiment,1034800,200.0,-1561.2321998679367,39.86158068750379
