,experiment,timestep,mean episodic length,mean episodic returns,std episodic returns
0,experiment,506000,200.0,-1183.8144964927208,204.47145633960398
0,experiment,508200,200.0,-934.7904084454932,151.82272748541308
0,experiment,510400,200.0,-1094.0942439606154,225.7841552640195
0,experiment,512600,200.0,-918.317524456673,213.41390374749992
0,experiment,514800,200.0,-938.9163566499066,166.14134095842633
0,experiment,517000,200.0,-1030.4342696843528,199.3215297038789
0,experiment,519200,200.0,-1005.5534701059489,212.90376853714216
0,experiment,521400,200.0,-1035.8463861342018,173.51435137287888
0,experiment,523600,200.0,-1003.1400030146681,97.50356313756734
0,experiment,525800,200.0,-1013.5162226515564,141.51647210726065
0,experiment,528000,200.0,-1038.970277378521,192.45403608765255
0,experiment,530200,200.0,-943.2674293389694,169.0599412917991
0,experiment,532400,200.0,-952.1471356980622,162.87486720622016
0,experiment,534600,200.0,-993.6215705967949,202.38433078222565
0,experiment,536800,200.0,-1009.6559472030768,252.02023007585615
0,experiment,539000,200.0,-1058.867492119406,237.98772232418855
0,experiment,541200,200.0,-937.4913628155006,135.93380783800453
0,experiment,543400,200.0,-1012.4470700177636,140.34818432300085
0,experiment,545600,200.0,-991.0552933418362,116.91953216096424
0,experiment,547800,200.0,-952.3719797927323,142.5260058556243
0,experiment,550000,200.0,-1001.4071753007252,193.05601388473588
0,experiment,552200,200.0,-930.5582223640612,176.9395164007411
0,experiment,554400,200.0,-957.011535626744,127.60109160857392
0,experiment,556600,200.0,-1110.5321570496437,184.96645825298162
0,experiment,558800,200.0,-970.4865420424893,163.8924714916782
0,experiment,561000,200.0,-965.3112030062279,162.81670716360435
0,experiment,563200,200.0,-1024.932553158036,204.77102041653387
0,experiment,565400,200.0,-1050.6537595435927,233.75717823886217
0,experiment,567600,200.0,-1005.2411126645544,142.807369679644
0,experiment,569800,200.0,-996.3229587054396,141.2470598290796
0,experiment,572000,200.0,-976.2725478852946,229.32805339268424
0,experiment,574200,200.0,-984.8123014975281,163.8543248328983
0,experiment,576400,200.0,-1020.8503379370815,181.44761681058714
0,experiment,578600,200.0,-1040.015600653191,278.91285131726005
0,experiment,580800,200.0,-937.1919826009766,186.8585314423415
0,experiment,583000,200.0,-1008.0304291702946,205.64320766163058
0,experiment,585200,200.0,-1025.529668733361,86.7646788772949
0,experiment,587400,200.0,-957.043583443576,164.3657880613173
0,experiment,589600,200.0,-949.4160390532343,143.5167900542668
0,experiment,591800,200.0,-1023.1324745310359,187.01975823481627
0,experiment,594000,200.0,-899.9135313659277,142.576078490899
0,experiment,596200,200.0,-994.6117751753761,183.42330309497342
0,experiment,598400,200.0,-1027.273706899485,121.73777124586142
0,experiment,600600,200.0,-938.7941971150944,144.285902247861
0,experiment,602800,200.0,-1025.4618688784146,148.76011605075246
0,experiment,605000,200.0,-982.211229566589,151.23444989410808
0,experiment,607200,200.0,-965.1909952431092,183.97684292985272
0,experiment,609400,200.0,-985.2007154824357,205.125773106746
0,experiment,611600,200.0,-897.3272715196609,109.78801682252667
0,experiment,613800,200.0,-1006.2137349385516,211.05586035465896
0,experiment,616000,200.0,-998.1487565467229,159.92753318199206
0,experiment,618200,200.0,-934.6798666451141,129.18292482327558
0,experiment,620400,200.0,-993.8497375513566,126.6520103282254
0,experiment,622600,200.0,-1030.559588392998,182.66598399300204
0,experiment,624800,200.0,-986.2040194904283,229.4545399381607
0,experiment,627000,200.0,-1004.6475405568457,173.21910336990666
0,experiment,629200,200.0,-911.5662211838662,160.94894179127604
