,mean episodic length,mean episodic rewards,timestep
0,200.0,-1153.932971790452,642200
0,200.0,-1132.091094319442,644800
0,200.0,-1106.9950687766466,647400
0,200.0,-1021.3735472426639,650000
0,200.0,-1047.1183971420853,652600
0,200.0,-1149.2484277282651,655200
0,200.0,-1092.0396449294965,657800
0,200.0,-1061.3701121813244,660400
0,200.0,-1180.3047408739549,663000
0,200.0,-1147.3008545292957,665600
0,200.0,-1015.8884112117298,668200
0,200.0,-1092.2472947769509,670800
0,200.0,-1074.3948494047606,673400
0,200.0,-1158.7579729494462,676000
0,200.0,-1118.169870879926,678600
0,200.0,-951.2911826599598,681200
0,200.0,-1055.4252791057797,683800
0,200.0,-1196.7950689669074,686400
0,200.0,-1109.014209950431,689000
0,200.0,-1121.8602290523158,691600
0,200.0,-1174.348324636747,694200
0,200.0,-1038.220826594659,696800
0,200.0,-1023.3439219665511,699400
0,200.0,-1063.5774106250378,702000
0,200.0,-1019.7759402428304,704600
0,200.0,-1098.0532744549132,707200
0,200.0,-1182.626770483891,709800
0,200.0,-1024.9053809668314,712400
0,200.0,-1045.0133440460077,715000
0,200.0,-1113.6359104871588,717600
0,200.0,-1117.8356307509614,720200
0,200.0,-1100.6139178012845,722800
0,200.0,-1056.463321566841,725400
0,200.0,-1079.0789333398125,728000
0,200.0,-1076.7658204398651,730600
0,200.0,-1124.0419480439373,733200
0,200.0,-1078.6199701731825,735800
0,200.0,-1016.9131150284131,738400
0,200.0,-1070.6609022296498,741000
0,200.0,-941.0572236247252,743600
0,200.0,-1069.866276895912,746200
0,200.0,-1102.4838449723984,748800
0,200.0,-932.1954382170726,751400
0,200.0,-1104.8846666406716,754000
0,200.0,-1046.4245930167988,756600
0,200.0,-975.9760343371684,759200
0,200.0,-1176.380460361837,761800
0,200.0,-1067.1501422166962,764400
0,200.0,-1074.9824202460013,767000
0,200.0,-1084.0099044730691,769600
0,200.0,-998.2770666458398,772200
0,200.0,-1160.403638380992,774800
0,200.0,-993.8848849280738,777400
0,200.0,-1018.6133364796234,780000
0,200.0,-1074.9795999153416,782600
0,200.0,-1085.6883163061173,785200
0,200.0,-1132.5165712031403,787800
0,200.0,-992.9844613401183,790400
0,200.0,-947.8920514086278,793000
0,200.0,-1091.7331666762952,795600
0,200.0,-1035.8930915804117,798200
0,200.0,-1001.2898011076014,800800
0,200.0,-1051.6257227449526,803400
0,200.0,-1134.2006082195444,806000
0,200.0,-1065.2026508681547,808600
0,200.0,-1073.8683032820409,811200
0,200.0,-956.573428883886,813800
0,200.0,-1017.4413291594258,816400
0,200.0,-1028.5799542475156,819000
0,200.0,-988.767456647063,821600
0,200.0,-1017.0106449316577,824200
0,200.0,-1090.0872510886927,826800
0,200.0,-939.4337331043448,829400
0,200.0,-860.7157195798741,832000
0,200.0,-1002.0360050895301,834600
0,200.0,-1166.7038218300236,837200
0,200.0,-1014.5801673540357,839800
0,200.0,-865.8530226251872,842400
0,200.0,-1021.5315031769006,845000
0,200.0,-1087.6103302369177,847600
0,200.0,-973.5535695338962,850200
0,200.0,-1087.757590735373,852800
0,200.0,-923.9004795528627,855400
0,200.0,-1046.6134450679697,858000
0,200.0,-1100.795118997956,860600
0,200.0,-1048.8865674183417,863200
0,200.0,-1081.3965581328075,865800
0,200.0,-930.9679263216102,868400
0,200.0,-1076.8319954949843,871000
0,200.0,-986.6865464917043,873600
0,200.0,-946.3490706867938,876200
0,200.0,-912.366515490009,878800
0,200.0,-1026.496689987423,881400
0,200.0,-994.2057197467833,884000
0,200.0,-973.4760985192383,886600
0,200.0,-1008.695801054014,889200
0,200.0,-996.8938783326927,891800
0,200.0,-1033.324036613862,894400
0,200.0,-1050.8210849561601,897000
0,200.0,-1064.6251812969692,899600
0,200.0,-883.8261309921164,902200
0,200.0,-965.2930164889923,904800
0,200.0,-958.2893377453232,907400
0,200.0,-999.8885456313546,910000
0,200.0,-1009.4075048262273,912600
0,200.0,-1066.3430961049694,915200
0,200.0,-982.2140708655564,917800
0,200.0,-972.6862588085029,920400
0,200.0,-993.1603550980882,923000
0,200.0,-1000.707297323559,925600
0,200.0,-1000.0300472369402,928200
0,200.0,-1037.3358490435255,930800
0,200.0,-910.2843615308495,933400
0,200.0,-905.5677030680949,936000
0,200.0,-1037.8154997157312,938600
0,200.0,-958.9310751797558,941200
0,200.0,-913.902298479108,943800
0,200.0,-1064.3031395664539,946400
0,200.0,-889.6132469539706,949000
0,200.0,-928.0171263441648,951600
0,200.0,-981.703283869505,954200
0,200.0,-1055.4180851491574,956800
0,200.0,-923.6488794303654,959400
0,200.0,-979.0449342941658,962000
0,200.0,-1058.5080797530957,964600
0,200.0,-1072.309626736866,967200
0,200.0,-877.5976361968226,969800
0,200.0,-971.5588134958812,972400
0,200.0,-1074.7885325807247,975000
0,200.0,-936.6210901240051,977600
0,200.0,-902.9634218506543,980200
0,200.0,-984.3038732471148,982800
0,200.0,-966.8911537959351,985400
0,200.0,-905.5626385378423,988000
0,200.0,-939.8950553876937,990600
0,200.0,-893.1036949981188,993200
0,200.0,-998.8258803191885,995800
0,200.0,-959.5260883871496,998400
0,200.0,-929.1397287155232,1001000
0,200.0,-898.2619933944311,1003600
0,200.0,-888.535153963201,1006200
0,200.0,-964.3462676645972,1008800
0,200.0,-1037.697373034123,1011400
0,200.0,-967.5233286548771,1014000
0,200.0,-925.1383890645145,1016600
0,200.0,-999.7859190299282,1019200
0,200.0,-950.9596995598386,1021800
0,200.0,-1003.5049329583218,1024400
0,200.0,-975.8075860486641,1027000
0,200.0,-1001.3521164147764,1029600
0,200.0,-879.2509000293932,1032200
0,200.0,-867.9358176478155,1034800
0,200.0,-887.7827810139787,1037400
0,200.0,-899.9866911947562,1040000
0,200.0,-841.5262017240258,1042600
0,200.0,-846.1513203666668,1045200
0,200.0,-951.6186632425985,1047800
0,200.0,-998.6255324200725,1050400
0,200.0,-974.7379476325546,1053000
0,200.0,-1078.3592328569844,1055600
0,200.0,-1017.7286220200374,1058200
0,200.0,-1018.4949622861782,1060800
0,200.0,-1036.684620789987,1063400
0,200.0,-1003.9850862646676,1066000
0,200.0,-996.3796661190964,1068600
0,200.0,-930.144072516333,1071200
0,200.0,-865.0076897761547,1073800
0,200.0,-933.7167894617246,1076400
0,200.0,-833.4468207530657,1079000
0,200.0,-933.7790592343748,1081600
0,200.0,-913.8869903178268,1084200
0,200.0,-843.3273181193207,1086800
0,200.0,-817.8914417770403,1089400
0,200.0,-930.5533021515738,1092000
0,200.0,-929.1927520082554,1094600
0,200.0,-857.8593761267855,1097200
0,200.0,-897.1610433024964,1099800
0,200.0,-885.1941000208433,1102400
0,200.0,-937.9442871836695,1105000
0,200.0,-906.6098726564893,1107600
0,200.0,-923.0257502606528,1110200
0,200.0,-855.0520252908656,1112800
0,200.0,-897.3547351157265,1115400
0,200.0,-809.9290190651611,1118000
0,200.0,-792.9659602605442,1120600
0,200.0,-870.4645659913048,1123200
0,200.0,-832.3673262094047,1125800
0,200.0,-844.8198821332018,1128400
0,200.0,-849.2203222192121,1131000
0,200.0,-853.7610471709934,1133600
0,200.0,-887.0636501107502,1136200
0,200.0,-878.7945470666606,1138800
0,200.0,-814.0080126333712,1141400
0,200.0,-782.8609581245079,1144000
0,200.0,-869.7442824336135,1146600
0,200.0,-851.5733431717697,1149200
0,200.0,-919.0776609106978,1151800
0,200.0,-773.9951499086942,1154400
0,200.0,-861.7504148131928,1157000
