,experiment,timestep,mean episodic runtime,mean episodic length,eval episodes,mean episodic returns,min episodic returns,max episodic returns,std episodic returns
16,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",444416,0.000507,1.0,2048,-0.886193,-0.88648,-0.885933,8.2e-05
17,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",446464,0.000459,1.0,2048,-0.886183,-0.886454,-0.885884,8.1e-05
18,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",448512,0.000515,1.0,2048,-0.886168,-0.886413,-0.885933,8.2e-05
19,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",450560,0.00043,1.0,2048,-0.886157,-0.886463,-0.885867,8.2e-05
20,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",452608,0.000452,1.0,2048,-0.886148,-0.886427,-0.885807,8.3e-05
21,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",454656,0.000433,1.0,2048,-0.886129,-0.886416,-0.885853,8.3e-05
22,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",456704,0.00059,1.0,2048,-0.886119,-0.886368,-0.885858,8.3e-05
23,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",458752,0.000593,1.0,2048,-0.88611,-0.886437,-0.885835,8.5e-05
24,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",460800,0.000568,1.0,2048,-0.886089,-0.886342,-0.885708,8e-05
0,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",462848,0.000528,1.0,2048,-0.886076,-0.886352,-0.885807,8.2e-05
1,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",464896,0.000554,1.0,2048,-0.886069,-0.886373,-0.885792,8.5e-05
2,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",466944,0.000526,1.0,2048,-0.886058,-0.88638,-0.885745,8.4e-05
3,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",468992,0.000535,1.0,2048,-0.886044,-0.886325,-0.88575,8.2e-05
4,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",471040,0.000417,1.0,2048,-0.88603,-0.886282,-0.885733,8.4e-05
5,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",473088,0.000408,1.0,2048,-0.886011,-0.88628,-0.885717,8.7e-05
6,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",475136,0.000492,1.0,2048,-0.886003,-0.886276,-0.885725,8.3e-05
7,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",477184,0.000466,1.0,2048,-0.885989,-0.886344,-0.885725,8.3e-05
8,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",479232,0.00045,1.0,2048,-0.885972,-0.886246,-0.88566,8.8e-05
9,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",481280,0.000486,1.0,2048,-0.88596,-0.886221,-0.885639,8.3e-05
10,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",483328,0.000461,1.0,2048,-0.885948,-0.886218,-0.885636,8.2e-05
11,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",485376,0.000457,1.0,2048,-0.885938,-0.886213,-0.885653,8.2e-05
12,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",487424,0.00054,1.0,2048,-0.885921,-0.886204,-0.8856,8.3e-05
13,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",489472,0.000411,1.0,2048,-0.885912,-0.886191,-0.885652,8.1e-05
14,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",491520,0.000475,1.0,2048,-0.885899,-0.886212,-0.885496,8.8e-05
